school_id,school_name,postcode,borough,school_type
141039,"Canary Wharf College, Glenworth",E14 3EB,Tower Hamlets,Primary
141082,Oasis Academy Silvertown,E16 2BB,Newham,Secondary
141133,London Enterprise Academy,E1 1RD,Tower Hamlets,Secondary
141135,The Fulham Boys School,SW6 5BD,Hammersmith and Fulham,Secondary
141209,Brook House Primary School,N17 8EY,Haringey,Primary
141296,Sheringham Primary School,E12 5PB,Newham,Primary
141576,Northwold Primary School,E5 8RN,Hackney,Primary
141617,The Hurlingham Academy,SW6 3ED,Hammersmith and Fulham,Secondary
141666,Angel Oak Academy,SE15 6FL,Southwark,Primary
141685,Langford Primary School,SW6 2LG,Hammersmith and Fulham,Primary
141750,Halley House School,E8 2DJ,Hackney,Primary
141808,Saint Cecilia's Church of England School,SW18 5JR,Wandsworth,Secondary
141902,Greenside Primary School,W12 9PT,Hammersmith and Fulham,Primary
141925,St Helen's Catholic Primary School,E13 8DW,Newham,Primary
141927,St Joachim's Catholic Primary School,E16 3DT,Newham,Primary
141931,The Cardinal Vaughan Memorial RC School,W14 8BZ,Kensington and Chelsea,Secondary
142090,The Belham Primary School,SE15 4DG,Southwark,Primary
142112,Hackney New Primary School,N1 5FR,Hackney,Primary
142178,The Charter School East Dulwich,SE22 8EY,Southwark,Secondary
142255,Mossbourne Parkside Academy,E8 1AS,Hackney,Primary
142256,Thomas's Academy,SW6 4LY,Hammersmith and Fulham,Primary
142267,Upton Cross Primary School,E13 0RJ,Newham,Primary
142456,St Winifred's RC Primary School,SE12 0SJ,Lewisham,Primary
142632,Portway Primary School,E13 0JW,Newham,Primary
142644,Sarah Bonnell School,E15 4LP,Newham,Secondary
142708,Hartley Primary School,E6 1NT,Newham,Primary
142726,Selwyn Primary School,E13 0ES,Newham,Primary
142875,"Galleywall Primary, City of London Academy",SE16 3PB,Southwark,Primary
142879,Canary Wharf College Crossharbour,E14 9GL,Tower Hamlets,Secondary
142903,London Design and Engineering UTC,E16 2RD,Newham,Secondary
143020,"City of London Primary Academy, Islington",EC1Y 0AE,Islington,Primary
143129,Phoenix Academy,W12 0RQ,Hammersmith and Fulham,Secondary
