school_id,school_name,postcode,borough,school_type,centroid_latitude,centroid_longitude
137157,The London Oratory School,SW6 1RX,Hammersmith and Fulham,Secondary,51.48623,-0.196193
137181,The UCL Academy,NW3 3AQ,Camden,Secondary,51.54174,-0.171846
137295,Corpus Christi Catholic Primary School,SW2 5BL,Lambeth,Primary,51.45618,-0.12136
137323,Ark Atwood Primary Academy,W9 2JY,Westminster,Primary,51.5228,-0.191806
137331,Ark Conway Primary Academy,W12 0QT,Hammersmith and Fulham,Primary,51.51325,-0.243304
137353,The St Marylebone CofE School,W1U 5BA,Westminster,Secondary,51.52221,-0.152145
137393,The New North Academy,N1 8SJ,Islington,Primary,51.53861,-0.095501
137413,Harris Primary Academy Peckham Park,SE15 5TD,Southwark,Primary,51.47622,-0.065744
137430,Oasis Academy South Bank Primary,SE1 7RH,Lambeth,Primary,51.50071,-0.11139
137441,Tidemill Academy,SE8 4RJ,Lewisham,Primary,51.47748,-0.023567
137442,Clapton Girls' Academy,E5 0RB,Hackney,Secondary,51.55472,-0.051956
137563,Belleville Primary School,SW11 6PR,Wandsworth,Primary,51.45689,-0.164673
137566,William Tyndale Primary School,N1 2GG,Islington,Primary,51.54242,-0.101428
137648,"Redriff Primary, City of London Academy",SE16 5LQ,Southwark,Primary,51.50193,-0.036629
137682,Sir William Burrough Primary School,E14 7PQ,Tower Hamlets,Primary,51.51373,-0.033758
137789,Mulberry Academy Shoreditch,E2 6NW,Tower Hamlets,Secondary,51.52739,-0.069586
137935,Sacred Heart High School,W6 7DG,Hammersmith and Fulham,Secondary,51.49357,-0.223331
137954,City Heights E-ACT Academy,SW2 3PW,Lambeth,Secondary,51.44225,-0.113629
138202,Wapping High School,E1 2DA,Tower Hamlets,Secondary,51.51498,-0.060974
138267,Ark Bolingbroke Academy,SW11 6BF,Wandsworth,Secondary,51.45617,-0.168257
138276,Solebay Primary - A Paradigm Academy,E1 4PW,Tower Hamlets,Primary,51.52266,-0.03813
138312,Westminster City School,SW1E 5HJ,Westminster,Secondary,51.49797,-0.139064
138313,The Grey Coat Hospital,SW1P 2DY,Westminster,Secondary,51.49603,-0.134504
138607,Lady Margaret School,SW6 4UN,Hammersmith and Fulham,Secondary,51.47418,-0.199619
138680,Ark Bentworth Primary Academy,W12 7AJ,Hammersmith and Fulham,Primary,51.51535,-0.231823
138681,Ark Putney Academy,SW15 3DG,Wandsworth,Secondary,51.4548,-0.225614
138682,Southfields Academy,SW18 5JU,Wandsworth,Secondary,51.44507,-0.197728
